"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.164",1200,"142.104.5.64",80,131,110708,54,5987,77,104721,0,45.054006999999999,1063.0796945541381,18594.750074061114
"192.168.1.164",1201,"142.104.5.64",80,69,58060,28,2854,41,55206,2.6695539999999998,24.122219999999999,946.51321478703039,18308.762626325439
"192.168.1.164",1202,"142.104.105.208",80,29,20144,10,1343,19,18801,26.854911999999999,0.30032300000000234,35774.815781674784,500820.78295701236
"192.168.1.164",1203,"142.104.105.208",80,10,2061,5,637,5,1424,27.161722999999999,0.014006000000001961,363844.06682845112,813365.70041399437
"192.168.1.164",1204,"142.104.105.208",80,11,3284,5,645,6,2639,27.174666999999999,0.014316000000000884,360435.8759429786,1474713.6071527449
"192.168.1.164",1205,"142.104.105.208",80,11,5637,5,644,6,4993,27.210152000000001,0.023080000000000211,223223.57019063921,1730675.909878667
"192.168.1.164",1206,"142.104.105.208",80,11,2813,5,643,6,2170,27.230398999999998,0.020508000000003079,250828.94480199082,846498.92724777618
"192.168.1.164",1207,"142.104.105.208",80,8,3652,4,502,4,3150,27.230774,0.055474000000000245,72394.274795399324,454266.8637559918
"192.168.1.164",1208,"142.104.105.208",80,11,5647,5,653,6,4994,27.279983999999999,0.026104000000000127,200122.58657676887,1530493.4109714911
"192.168.1.164",1209,"142.104.105.208",80,22,12126,10,1646,12,10480,30.025742000000001,3.8135979999999989,3452.9072020700669,21984.488139546964
"192.168.1.164",1210,"142.104.105.208",80,8,3673,4,523,4,3150,30.190784000000001,0.052814999999998946,79219.918583737264,477137.1769383793
"192.168.1.164",1211,"142.104.105.208",80,35,24324,14,1622,21,22702,39.279150000000001,0.50951799999999992,25467.206261604108,356446.68098084861
"192.168.1.164",1212,"142.104.105.208",80,10,2109,5,689,5,1420,39.644283000000001,0.14490099999999728,38039.765080987039,78398.354738754133
"192.168.1.164",1213,"142.104.105.208",80,11,3338,5,699,6,2639,39.706015999999998,0.17626800000000031,31724.419633739475,119772.16511221528
"192.168.1.164",1214,"142.104.105.208",80,11,5691,5,698,6,4993,39.730769000000002,0.15705099999999561,35555.32916059214,254337.76289231598
"192.168.1.164",1215,"142.104.105.208",80,11,2867,5,697,6,2170,39.848827,0.14718599999999782,37884.037884038444,117946.00029894323
"192.168.1.164",1216,"142.104.105.208",80,8,3706,4,556,4,3150,39.853732999999998,0.19453200000000237,22865.132728805263,129541.6692369363
"192.168.1.164",1217,"142.104.100.111",80,14,5465,6,986,8,4479,131.95107400000001,0.078207999999989397,100859.24713585655,458162.84779056947
